Name,Gameweek,Opposition,Pts,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Net Transfers,Selected by,Cost
Castagne,1,WBA (A) 0 - 3,14,90,1,0,1,0,0,0,0,0,0,0,2,38,45.8,3,35,8.4,0,"67,356",5.5
Castagne,2,BUR (H) 4 - 2,9,90,0,2,0,2,0,0,0,0,0,0,2,32,28.8,24.7,8,6.2,"129,938","313,021",5.5
Castagne,3,MCI (A) 2 - 5,4,90,0,1,0,2,0,0,0,0,0,0,0,22,24.4,15.4,4,4.4,"312,939","710,062",5.6
Castagne,4,WHU (H) 0 - 3,1,90,0,0,0,3,0,0,0,0,0,0,0,17,16.2,20.8,8,4.5,"407,839","1,195,613",5.7
Cresswell,1,NEW (H) 0 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,11,10.4,11.2,0,2.2,0,"70,232",5.00
Cresswell,2,ARS (A) 2 - 1,1,90,0,0,0,2,0,0,0,0,0,0,0,17,27,35,0,6.2,"-12,662","62,831",5.00
Cresswell,3,WOL (H) 4 - 0,7,90,0,0,1,0,0,0,0,0,0,0,1,32,35.8,52.5,0,8.8,"-7,282","58,281",4.90
Cresswell,4,LEI (A) 0 - 3,15,90,0,2,1,0,0,0,0,0,0,0,3,57,52.8,52.5,0,10.5,77,"61,303",4.90
Saiss,1,SHU (A) 0 - 2,15,90,1,0,1,0,0,0,0,0,0,0,3,34,63.4,0.2,38,10.2,0,"177,607",5
Saiss,2,MCI (H) 1 - 3,1,90,0,0,0,3,0,0,0,0,0,0,0,11,11.2,0.4,2,1.4,117769,"385,987",5
Saiss,3,WHU (A) 4 - 0,0,90,0,0,0,4,0,0,0,0,0,0,0,15,12,1.7,0,1.4,"347,814","816,549",5.1
Saiss,4,FUL (H) 1 - 0,8,90,0,0,1,0,0,0,0,0,0,0,2,26,14.2,6.7,18,3.9,"29,271","840,002",5.1
Mings,2,SHU (H) 1 - 0,10,90,0,1,1,0,0,0,0,0,0,0,1,35,31.8,12.7,6,5.1,"-3,793","94,974",5
Mings,3,FUL (A) 0 - 3,12,90,1,0,1,0,0,0,0,1,0,0,1,31,61.4,0.2,34,9.6,"33,228","155,915",5
Mings,4,LIV (H) 7 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,16,24.2,0.3,2,2.7,"85,306","268,558",5
Konsa,2,SHU (H) 1 - 0,15,90,1,0,1,0,0,0,0,0,0,0,3,44,47,0.3,33,8,-696,"12,720",4.5
Konsa,3,FUL (A) 0 - 3,6,90,0,0,1,0,0,0,0,0,0,0,0,25,23.8,0,0,2.4,"123,297","178,556",4.5
Konsa,4,LIV (H) 7 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,10,14.8,0,0,1.5,88397,"283,613",4.5
Zouma,1,BHA (A) 1 - 3,8,90,1,0,0,1,0,0,0,0,0,0,0,25,51.8,0.2,17,6.9,0,"53,224",5
Zouma,2,LIV (H) 0 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,16,18.4,0.2,17,3.6,"7,097","89,752",5
Zouma,3,WBA (A) 3 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33,603","148,022",5
Zouma,4,CRY (H) 4 - 0,13,90,1,0,1,0,0,0,0,0,0,0,1,36,46.8,2.2,21,7,"-23,094","124,337",5
Digne,1,TOT (A) 0 - 1,12,90,0,1,1,0,0,0,0,0,0,0,3,38,40.8,19.9,0,6.1,0,"397,204",6
Digne,2,WBA (H) 5 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,19,21.8,75.5,12,10.9,"275,313","878,954",6.1
Digne,3,CRY (A) 1 - 2,6,90,0,1,0,1,0,0,0,0,0,0,1,22,26.8,17.3,12,5.6,"43,922","965,634",6.1
Digne,4,BHA (H) 4 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,16,14.8,20.7,4,4,"95,825","1,119,737",6.1
Gabriel,1,FUL (A) 0 - 3,15,90,1,0,1,0,0,0,0,0,0,0,3,37,51.8,0.3,33,8.5,0,"85,593",5
Gabriel,2,WHU (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,15,32.6,0.7,2,3.5,"363,239","705,990",5
Gabriel,3,LIV (A) 3 - 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"115,293","883,614",5.1
Gabriel,4,SHU (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,16,14.2,2.3,0,1.7,"-1,533","918,411",5.1
Robertson,1,LEE (H) 4 - 3,4,90,0,1,0,3,0,0,0,0,0,0,0,20,23.4,19.6,4,4.7,0,"766,431",7
Robertson,2,CHE (A) 0 - 2,6,90,0,0,1,0,0,0,0,0,0,0,0,26,10.6,14.3,26,5.1,"-47,931","807,793",7
Robertson,3,ARS (H) 3 - 1,10,90,1,0,0,1,0,0,0,0,0,0,2,29,41,31.5,23,9.6,"10,264","866,682",7
Robertson,4,AVL (A) 7 - 2,-1,90,0,0,0,7,0,0,0,0,0,0,0,13,24.4,27.2,31,8.3,"108,222","1,025,161",7
Masuaku,1,NEW (H) 0 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,272",4.5
Masuaku,2,ARS (A) 2 - 1,1,89,0,0,0,2,0,0,0,0,0,0,0,18,11,16.8,3,3.1,"-2,578","15,134",4.5
Masuaku,3,WOL (H) 4 - 0,12,90,0,1,1,0,0,0,0,0,0,0,3,45,43,55.8,2,10.1,-372,"16,174",4.5
Masuaku,4,LEI (A) 0 - 3,6,90,0,0,1,0,0,0,0,0,0,0,0,19,9.4,2.8,7,1.9,"16,834","39,555",4.5
Bellerin,1,FUL (A) 0 - 3,5,90,0,0,1,0,0,0,0,1,0,0,0,23,9.8,26.4,4,4,0,"240,975",5
Bellerin,2,WHU (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,10,7.6,6.9,2,1.7,"23,037","326,713",5
Bellerin,3,LIV (A) 3 - 1,0,90,0,0,0,3,0,0,0,1,0,0,0,12,15.6,1.5,2,1.9,"-19,029","323,391",5
Bellerin,4,SHU (H) 2 - 1,11,90,0,2,0,1,0,0,0,0,0,0,3,36,44.8,26,4,7.5,"-9,896","326,848",5
Chilwell,1,BHA (A) 1 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"72,270",5.5
Chilwell,2,LIV (H) 0 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-13,057","65,868",5.5
Chilwell,3,WBA (A) 3 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,294","108,096",5.5
Chilwell,4,CRY (H) 4 - 0,18,90,1,1,1,0,0,0,0,0,0,0,3,51,64.2,56.7,27,14.8,"7,687","122,194",5.5
Justin,1,WBA (A) 0 - 3,9,90,0,1,1,0,0,0,0,1,0,0,1,32,20,13,2,3.5,0,"681,843",4.5
Justin,2,BUR (H) 4 - 2,7,90,1,0,0,2,0,0,0,0,0,0,0,28,41.6,19.7,31,9.2,"271,058","1,081,585",4.6
Justin,3,MCI (A) 2 - 5,1,90,0,0,0,2,0,0,0,0,0,0,0,10,25,0.8,2,2.8,"300,017","1,435,891",4.7
Justin,4,WHU (H) 0 - 3,1,90,0,0,0,3,0,0,0,0,0,0,0,11,8.2,3.5,2,1.4,"166,998","1,636,952",4.7
Mina,1,TOT (A) 0 - 1,6,90,0,0,1,0,0,0,0,0,0,0,0,27,23.2,0.4,1,2.5,0,"54,492",5.5
Mina,2,WBA (H) 5 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,17,25.2,1.5,2,2.9,11979,"92,644",5.5
Mina,3,CRY (A) 1 - 2,2,90,0,0,0,1,0,0,0,0,0,0,0,15,17,0.3,0,1.7,7,"102,121",5.5
Mina,4,BHA (H) 4 - 2,8,90,1,0,0,2,0,0,0,0,0,0,1,31,64.6,0.7,33,9.8,"-2,299","106,524",5.5
James,1,BHA (A) 1 - 3,14,90,1,1,0,1,0,0,0,0,0,0,3,44,76.8,30.3,11,11.8,0,"304,155",5
James,2,LIV (H) 0 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,15,24.8,5,2,3.2,"163,043","593,870",5
James,3,WBA (A) 3 - 3,1,90,0,0,0,3,0,0,0,1,0,0,1,27,36.8,89.7,4,13.1,"426,692","1,135,471",5.1
James,4,CRY (H) 4 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,920","1,152,060",5.1
Keane,1,TOT (A) 0 - 1,6,90,0,0,1,0,0,0,0,0,0,0,0,29,25.8,0.1,0,2.6,0,"101,537",5
Keane,2,WBA (H) 5 - 2,7,90,1,0,0,2,0,0,0,0,0,0,0,28,49.6,11,41,10.2,"20,084","145,252",5
Keane,3,CRY (A) 1 - 2,2,90,0,0,0,1,0,0,0,0,0,0,0,15,15.4,0.4,2,1.8,"105,206","284,812",5
Keane,4,BHA (H) 4 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,11,8.6,0.4,0,0.9,"23,250","312,616",5
Bertrand,1,CRY (A) 1 - 0,2,90,0,0,0,1,0,0,0,0,0,0,0,15,16.8,18.5,2,3.7,0,"87,171",5
Bertrand,2,TOT (H) 2 - 5,-1,90,0,0,0,5,0,0,0,1,0,0,0,7,5.4,2.8,4,1.2,"-8,986","88,465",5
Bertrand,3,BUR (A) 0 - 1,8,90,0,0,1,0,0,0,0,0,0,0,2,28,19,32.3,2,5.3,"-10,378","80,480",5
Bertrand,4,WBA (H) 2 - 0,6,90,0,0,1,0,0,0,0,0,0,0,0,20,13.4,12.7,23,4.9,"8,694","94,806",5
