Name,Gameweek,Opposition,Pts,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Net Transfers,Selected by,Cost
Martinez,2,SHU (H) 1 - 0,13,90,0,0,1,0,0,1,0,0,0,1,2,38,32.2,0,0,3.2,38079,"349,600",4.50
Martinez,3,FUL (A) 0 - 3,6,90,0,0,1,0,0,0,0,0,0,2,0,26,19,0,0,1.9,333894,"783,041",4.50
Martinez,4,LIV (H) 7 - 2,3,90,0,0,0,2,0,0,0,0,0,6,0,22,42,0,0,4.2,"154,802","970,195",4.60
Darlow,1,WHU (A) 0 - 2,7,90,0,0,1,0,0,0,0,0,0,3,0,26,27,0,0,2.7,0,"13,715",5.00
Darlow,2,BHA (H) 0 - 3,2,90,0,0,0,3,0,0,0,0,0,4,0,16,17.8,0,0,1.8,"6,661","33,351",5.00
Darlow,3,TOT (A) 1 - 1,8,90,0,0,0,1,0,0,0,0,0,11,3,34,75.6,0,0,7.6,"-3,469","31,277",5.00
Darlow,4,BUR (H) 3 - 1,2,90,0,0,0,1,0,0,0,0,0,2,0,17,19.8,0,0,2,"34,849","85,192",5.00
Allison,1,LEE (H) 4 - 3,1,90,0,0,0,3,0,0,0,0,0,0,0,9,3.8,0,0,0.4,0,"721,549",6.00
Allison,2,CHE (A) 0 - 2,14,90,0,0,1,0,0,1,0,0,0,3,2,41,47.2,0,0,4.7,"-92,351","733,175",6.00
Allison,3,ARS (H) 3 - 1,2,90,0,0,0,1,0,0,0,0,0,2,0,16,24,0,0,2.4,"52,773","902,272",6.00
Allison,4,AVL (A) 7 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33,373","992,958",6.00
McCarthy,1,CRY (A) 1 - 0,2,90,0,0,0,1,0,0,0,0,0,2,0,17,22.6,0,0,2.3,0,"1,400,435",4.50
McCarthy,2,TOT (H) 2 - 5,0,90,0,0,0,5,0,0,0,0,0,1,0,9,12.8,0,0,1.3,"-49,369","1,423,373",4.50
McCarthy,3,BUR (A) 0 - 1,6,90,0,0,1,0,0,0,0,0,0,2,0,26,14.6,0,0,1.5,-161277,"1,275,332",4.50
McCarthy,4,WBA (H) 2 - 0,9,90,0,0,1,0,0,0,0,0,0,3,2,28,20,0,0,2,"27,560","1,331,722",4.50
Patricio,1,SHU (A) 0 - 2,6,90,0,0,1,0,0,0,0,0,0,1,0,23,11.2,0,0,1.1,0,"375,930",5.50
Patricio,2,MCI (H) 1 - 3,3,90,0,0,0,3,0,0,0,0,0,6,0,21,38,0,0,3.8,"-16,218","399,744",5.50
Patricio,3,WHU (A) 4 - 0,1,90,0,0,0,4,0,0,0,0,0,4,0,17,33.4,0,0,3.3,"48,947","483,271",5.5
Patricio,4,FUL (H) 1 - 0,6,90,0,0,1,0,0,0,0,0,0,2,0,24,18.2,0,0,1.8,"1,128","489,036",5.5
Guaita,1,SOU (H) 1 - 0,10,90,0,0,1,0,0,0,0,0,0,5,3,31,41.4,0,0,4.1,0,"87,269",5.00
Guaita,2,MUN (A) 1 - 3,3,90,0,0,0,1,0,0,0,0,0,3,0,13,14.4,0,0,1.4,"30,722","203,846",5.00
Guaita,3,EVE (H) 1 - 2,2,90,0,0,0,2,0,0,0,0,0,3,0,13,21.8,0,0,2.2,"54,379","297,108",5.00
Guaita,4,CHE (A) 4 - 0,0,90,0,0,0,4,0,0,0,0,0,2,0,12,16.6,0,0,1.7,"4,764","307,883",5.00
Meslier,1,LIV (A) 4 - 3,1,90,0,0,0,4,0,0,0,0,0,3,0,20,17.8,0,0,1.8,0,"55,373",4.50
Meslier,2,FUL (H) 4 - 3,2,90,0,0,0,3,0,0,0,0,0,3,0,19,22.2,10,0,3.2,"27,672","108,204",4.50
Meslier,3,SHU (A) 0 - 1,10,90,0,0,1,0,0,0,0,0,0,4,3,36,31.6,0,0,3.2,"1,355","115,077",4.50
Meslier,4,MCI (H) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,1,0,11,3,0,0,0.3,36748,"166,512",4.50
Fabianski,1,NEW (H) 0 - 2,1,90,0,0,0,2,0,0,0,0,0,0,0,9,5,0,0,0.5,0,"102,540",5.00
Fabianski,2,ARS (A) 2 - 1,1,90,0,0,0,2,0,0,0,0,0,1,0,12,7.6,0,0,0.8,"-13,627","99,714",5.00
Fabianski,3,WOL (H) 4 - 0,7,90,0,0,1,0,0,0,0,0,0,3,0,26,14.8,0,0,1.5,"-9,710","94,599",5.00
Fabianski,4,LEI (A) 0 - 3,6,90,0,0,1,0,0,0,0,0,0,0,0,19,0.2,0,0,0,"-3,556","94,583",5.00
Leno,1,FUL (A) 0 - 3,7,90,0,0,1,0,0,0,0,0,0,2,1,29,14,0,0,1.4,0,"400,285",5.00
Leno,2,WHU (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,2,0,18,18,0,0,1.8,"71,268","614,046",5.00
Leno,3,LIV (A) 3 - 1,3,90,0,0,0,3,0,0,0,0,0,5,1,22,35.8,0,0,3.6,"-33,085","605,224",5.00
Leno,4,SHU (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,1,0,12,11.2,0,0,1.1,"32,333","675,971",5.00
Pickford,1,TOT (A) 0 - 1,8,90,0,0,1,0,0,0,0,0,0,5,1,32,38.6,0,0,3.9,0,"270,083",5.00
Pickford,2,WBA (H) 5 - 2,1,90,0,0,0,2,0,0,0,0,0,2,0,15,13.8,0,0,1.4,"168,928","617,049",5.00
Pickford,3,CRY (A) 1 - 2,2,90,0,0,0,1,0,0,0,0,0,0,0,8,3.8,0,0,0.4,"1,562","642,875",5.00
Pickford,4,BHA (H) 4 - 2,1,90,0,0,0,2,0,0,0,0,0,1,0,10,8.6,10,0,1.9,-7755,"659,948",5
Schmeichel,1,WBA (A) 0 - 3,6,90,0,0,1,0,0,0,0,0,0,1,0,21,12.2,0,0,1.2,0,"828,679",5.5
Schmeichel,2,BUR (H) 4 - 2,2,90,0,0,0,2,0,0,0,0,0,3,0,15,31.6,0,0,3.2,"2,625","937,658",5.5
Schmeichel,3,MCI (A) 2 - 5,2,90,0,0,0,2,0,0,0,0,0,3,0,15,22.8,0,0,2.3,"-79,924","875,801",5.5
